CriticID,CriticDescription,PersonID
1,"In the small town of Mystic Falls, teenager Elena Gilbert and her younger brother, Jeremy, struggle to come to terms with the recent death of their parents. Elena is popular amongst her peers and the perfect straight-A student. However, she has difficulties hiding her grief from the world. Meanwhile, Jeremy treads on a dangerous path of using drugs to ease his pain. The arrival of new student Stefan Salvatore, makes Elena think about romantic possibilities. Elena is unaware about Stefan's mysterious origins as well as his brother Damon.",1
2,"As Mystic Falls prepares for a festival to celebrate the passing of a comet, Vicki is in the hospital recovering from the attack she can barely remember. Stefan goes to the hospital and tries to use his abilities to make sure Vicki doesn't remember what really happened, but his attempt is cut short when Vicki's brother Matt arrives. Jeremy continues to struggle at school and with his feelings for Vicki. At a parent/teacher conference, Mr. Tanner makes Aunt Jenna feel that she is failing as a surrogate parent, especially when it comes to the self-destructive Jeremy.",2
3,"John and Jeremy are almost dead when Elena arrives at home. Anna's blood saves Jeremy and the 911 brings John to the hospital. Stefan uses his blood to save John and tells him to leave Mystic Fall. Damon uses his blood to heal Caroline and he discovers that Katherine has returned to the town. Tyler is comforted by his mysterious uncle Mason, who is the black sheep of his family. Damon is rejected by Katherine and Elena and revenges against Jeremy. Katherine begins her game with Caroline, leaving a dark message to the Salvatore brothers.",3
4,"Caroline awakes in the hospital with hunger and she satisfies with a blood bag first and then with the blood of the night shift nurse. In the morning she finds that she can be burnt by the sun. When Matt tells her that she will be discharged in the morning, she tells that she needs to be released in the night, and he believes that she is worried with the Carnival. Stefan helps Jeremy and Damon is invited by Carol to be the president of Mystic Fall council and he overhears a conversation between Mason and Tyler.",4
5,Jane finds her life turned upside down when she is artificially inseminated by accident.,5
6,Jane's mother pressures her to sue the doctor responsible for the accidental insemination.,6
7,Sin Rostro makes a ransom demand after abducting Mateo; Rafael feels left out when Jane turns to Xo and Alba for help; Petra considers what she should do with Rafael's last sperm sample.,7
8,"Jane receives Mateo back, but must face the brewing love triangle between her, Michael and Rafael. Xo and Rogelio must perform on a cruise ship as part of contract agreements. Lachlan returns from his trip and proposes a deal, but Petra and Rafael don't trust him. Meanwhile, Alba makes a change in her life.",8
9,"It's the year 2030 and an older Ted Mosby is telling the story to his son and daughter about how he met and will eventually marry their mother. This is where we meet for the first time Ted, Lily, Marshall, Barney and Robin.",9
10,"Ted throws a party in hopes of seeing Robin again, but when she doesn't show up, he throws another... and another.",10
11,Marshall becomes predictably depressed and pathetic after the breakup. And it only gets worse when he discovers that Lily may be back in town.,1
12,"Barney gets Marshall back out on the singles market, but Barney keeps taking all the prospects from him. And Ted's convinced that Lily is back because she wants Marshall back, even though she says she's never been better.",2
13,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiancé at the altar.",3
14,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,4
15,"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.",5
16,"Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer.",6
17,"Klaus Mikaelson, the Original vampire/werewolf hybrid, returns to the magical melting pot that is the French Quarter of New Orleans - a town he helped build centuries ago.",7
18,"Rebekah arrives in New Orleans at her brother Elijah's insistence, but, concerned that Klaus is up to no good, she seeks help from a reluctant Sophie. Marcel enlists Davina's help.",8
19,Hayley struggles with her powers. Marcel sides with Klaus and gets revenge over the wolves. Esther is busy plotting her own plans. Everyone wants control over the city.,9
20,"Nathaniel appears as Kol in flashback whereas tensions between Elijah and Hayley grow, Klaus steps in and encourages her to regain her position within her werewolf pack. Mikael grows impatient under Davina's control while she attempts to uncover a spell that would protect those closest to her. Eljiah and Marcel work together to gather a vital piece of information. KLaus gets suspicious about Cassie.",10
21,"Diagnosed with terminal lung cancer, chemistry teacher Walter White teams up with his former student, Jesse Pinkman, to cook and sell crystal meth.",1
22,"After their first drug deal goes terribly wrong, Walt and Jesse are forced to deal with a corpse and a prisoner. Meanwhile, Skyler grows suspicious of Walt's activities.",2
23,"During their first drug deal with Tuco, Walt and Jesse realize how dire their situation is. They must come up with a plan to kill Tuco before Tuco kills them first.",3
24,Tuco takes Walt and Jesse prisoner.,4
25,"American astronaut Tony Nelson splashes down near a deserted island and finds a bottle that contains a beautiful genie named Jeannie. After helping him get rescued he sets her free, but she prefers to come home with him. Besides she is very much in love with her handsome master and she will grant his every wish or desire no matter how much trouble he gets in.",5
26,Jeannie blinks Tony to ancient Persia to defend her honor while Jeannie announces to her parents that this is the man she plans to marry.,6
27,On a survival mission Jeannie gives him every possible comfort.,7
28,"When Tony's future father-in-law is accepting an ambassadorship, he offers Tony a prestigious position if he leaves the Air Force.",8
29,"When Jeannie says she wants to be his secretary, Tony tells Jeannie that she has to join the Air Force.",9
30,"After Tony argues with Jeannie on a yacht and she blinks home, two witnesses think that he pushed her overboard and murdered her.",10
31,Jeannie sabotages Tony's tests prior to his launch because she doesn't want him breaking his tether on a spacewalk and being lost in space.,1
32,"After reading an article in a magazine, Jeannie tries to become the typical American woman.",2
33,"When Jeannie becomes jealous of Tony dating a movie star, she tries to become one but finds out that genies cannot be photographed.",3
34,Walt and Jesse try to come up with alibis for their disappearances.,4
35,Skyler keeps mysteriously leaving without talking to Walt. Jesse's parents throw him out of his own house.,5
36,"Walt and Jesse decide to start their own little empire with the help of Jesse's friends: Skinny Pete, Combo, and Badger. Meanwhile, Hank tries to pull himself together after his encounter with Tuco.",6
37,"After Skinny Pete gets ripped off, Walt makes Jesse go get the money. Meanwhile, Walt's cover story on how Elliott and Gretchen are paying for his medical treatment is on the verge of collapsing.",7
38,"Rumor is spreading that Jesse killed the man that ripped Skinny Pete off. Walt uses this to his advantage on expanding their territory. Meanwhile, Hank has been promoted to the El Paso office. But it's not all he hoped it would be.",8
39,"Badger is caught by the DEA. Walt and Jesse hire the best criminal lawyer in town, Saul Goodman.",9
40,Walt and Jesse become stranded out in the middle of the desert after cooking more crystal.,10
