ReviewID,Review,TVShowID,SeasonID,EpisodeID,CriticID,OrganizationID,UserID,TrailerID,MovieID,UserRating
1,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading ""normal"" lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. ",,,,,,1,,7.8,1
2,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading ""normal"" lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. ",,,,,,2,,7.8,2
3,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,,,,,3,,8.4,3
4,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,,,,,4,,9,5
5,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,,,,,11,,8.3,4
6,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,,,,,12,,9.5,1
7,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,,,,,13,,7.5,2
8,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,,,,,14,,7.6,3
9,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,,,,,15,,7.1,5
10,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,,,,,2,,6.1,4
11,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,,,,,3,,8.9,5
12,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,,,,,4,,6.8,4
13,"Captain Tony Nelson is an astronaut. While on a mission, he discovered a mysterious bottle. Opening it, he released Jeannie (a Genie) who was so overjoyed at her release she promised to serve Captain Nelson. ",,,,,,11,,8.7,1
14,"Captain Tony Nelson is an astronaut. While on a mission, he discovered a mysterious bottle. Opening it, he released Jeannie (a Genie) who was so overjoyed at her release she promised to serve Captain Nelson. ",,,,,,12,,5.1,2
15,"The young executive of an advertisement agency, Darrin Stephens marries a beautiful woman, Samantha Stephens. On their honeymoon, Sam discloses a secret to him: she is a witch with magic powers. ",,,,,,13,,8.5,2
16,"The young executive of an advertisement agency, Darrin Stephens marries a beautiful woman, Samantha Stephens. On their honeymoon, Sam discloses a secret to him: she is a witch with magic powers. ",,,,,,15,,7,1
17,"Father Ted Lawson creates a robot, VICI (played by Tiffany Brissette). The family--Ted, Joan and Jamie--keep VICI's identity secret, and pretend that she is their daughter. s.",,,,2,1,1,,9.5,1
18,"Father Ted Lawson creates a robot, VICI (played by Tiffany Brissette). The family--Ted, Joan and Jamie--keep VICI's identity secret, and pretend that she is their daughter. s.",,,,3,2,2,,7.3,2
19,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading ""normal"" lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. ",,,,10,3,3,,6.7,3
20,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,,,11,5,4,,6.5,5
21,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,,,1,4,11,,9.5,4
22,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,,,2,1,12,,7.3,5
23,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,,,3,2,13,,6.7,4
24,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,,,4,3,14,,6.5,10
25,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,,,11,5,15,,7.1,4
26,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,,,12,4,2,,6.1,1
27,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,,,13,5,3,,8.9,2
28,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,,,14,4,4,,6.8,2
29,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,,,15,1,11,,8.7,1
30,"Captain Tony Nelson is an astronaut. While on a mission, he discovered a mysterious bottle. Opening it, he released Jeannie (a Genie) who was so overjoyed at her release she promised to serve Captain Nelson. ",,,,2,2,12,,5.1,1
31,"Captain Tony Nelson is an astronaut. While on a mission, he discovered a mysterious bottle. Opening it, he released Jeannie (a Genie) who was so overjoyed at her release she promised to serve Captain Nelson. ",,,,3,2,13,,8.5,2
32,"The young executive of an advertisement agency, Darrin Stephens marries a beautiful woman, Samantha Stephens. On their honeymoon, Sam discloses a secret to him: she is a witch with magic powers. ",,,,4,1,15,,7,3
33,"The young executive of an advertisement agency, Darrin Stephens marries a beautiful woman, Samantha Stephens. On their honeymoon, Sam discloses a secret to him: she is a witch with magic powers. ",,,11,,,1,,6.8,5
34,"Father Ted Lawson creates a robot, VICI (played by Tiffany Brissette). The family--Ted, Joan and Jamie--keep VICI's identity secret, and pretend that she is their daughter. s.",,,12,,,2,,7.8,6
35,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading ""normal"" lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. ",,,13,,,3,,7.8,7
36,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,,15,,,4,,8.4,8
37,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,,2,,,11,,9,9
38,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,,3,,,12,,8.3,10
39,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,,10,,,13,,5.1,1
40,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,,11,,,14,,8.5,2
41,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,,14,,,15,,,3
42,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,,15,,,2,,,5
43,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,,2,,,3,,,6
44,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,,3,,,4,,,5
45,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,,4,,,11,,,5
46,"Captain Tony Nelson is an astronaut. While on a mission, he discovered a mysterious bottle. Opening it, he released Jeannie (a Genie) who was so overjoyed at her release she promised to serve Captain Nelson. ",,,11,,,12,,,6
47,"Captain Tony Nelson is an astronaut. While on a mission, he discovered a mysterious bottle. Opening it, he released Jeannie (a Genie) who was so overjoyed at her release she promised to serve Captain Nelson. ",,,12,,,13,,,7
48,"The young executive of an advertisement agency, Darrin Stephens marries a beautiful woman, Samantha Stephens. On their honeymoon, Sam discloses a secret to him: she is a witch with magic powers. ",,1,,,,15,,,8
49,"The young executive of an advertisement agency, Darrin Stephens marries a beautiful woman, Samantha Stephens. On their honeymoon, Sam discloses a secret to him: she is a witch with magic powers. ",,2,,,,15,,,9
50,"Father Ted Lawson creates a robot, VICI (played by Tiffany Brissette). The family--Ted, Joan and Jamie--keep VICI's identity secret, and pretend that she is their daughter. s.",,3,,,,2,,,10
51,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading ""normal"" lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. ",,5,,,,1,,,9
52,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading ""normal"" lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. ",,4,,,,2,,,10
53,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,1,,,,3,,,9
54,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,,2,,,,4,,,10
55,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,3,,,,11,,,5
56,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",,5,,,,12,,,6
57,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,4,,,,13,,,7
58,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",,5,,,,14,,,8
59,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,4,,,,15,,,9
60,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus (Joseph Morgan), Elijah (Daniel Gillies), and Rebekah (Claire Holt). ",,1,,,,2,,,10
61,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",,2,,,,3,,,8
62,"When chemistry teacher Walter White is diagnosed with Stage III cancer and given only two years to live, he decides he has nothing to lose. He lives with his teenage son, who has cerebral palsy, and his wife, in New Mexico. ",1,,,,,4,,,9
63,"Captain Tony Nelson is an astronaut. While on a mission, he discovered a mysterious bottle. Opening it, he released Jeannie (a Genie) who was so overjoyed at her release she promised to serve Captain Nelson. ",2,,,,,11,,,10
64,"Captain Tony Nelson is an astronaut. While on a mission, he discovered a mysterious bottle. Opening it, he released Jeannie (a Genie) who was so overjoyed at her release she promised to serve Captain Nelson. ",3,,,,,12,,,9
65,"The young executive of an advertisement agency, Darrin Stephens marries a beautiful woman, Samantha Stephens. On their honeymoon, Sam discloses a secret to him: she is a witch with magic powers. ",5,,,,,13,,,10
66,"The young executive of an advertisement agency, Darrin Stephens marries a beautiful woman, Samantha Stephens. On their honeymoon, Sam discloses a secret to him: she is a witch with magic powers. ",4,,,,,15,,,9
67,"Father Ted Lawson creates a robot, VICI (played by Tiffany Brissette). The family--Ted, Joan and Jamie--keep VICI's identity secret, and pretend that she is their daughter. s.",1,,,,,14,,,10
68,"Father Ted Lawson creates a robot, VICI (played by Tiffany Brissette). The family--Ted, Joan and Jamie--keep VICI's identity secret, and pretend that she is their daughter. s.",2,,,,,15,,,5
69,"The vampire brothers Damon and Stefan Salvatore, eternal adolescents, having been leading ""normal"" lives, hiding their bloodthirsty condition, for centuries, moving on before their non-aging is noticed. ",3,,,,,2,,,6
70,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,5,,,,,3,,,7
71,Jane is a religious young Latina who is a waitress in a hotel in Miami. Her life takes a big turn for the unexpected when her doctor (Dr. Luisa Alver) mistakenly artificially inseminates her during her checkup. ,4,,,,,4,,,8
72,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",5,,,,,11,,,9
73,"A father recounts to his children, through a series of flashbacks, the journey he and his four best friends took leading up to him meeting their mother.",4,,,,,12,,,10
74,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",1,,,,,13,,,8
75,"Rachel Green, Ross Geller, Monica Geller, Joey Tribbiani, Chandler Bing and Phoebe Buffay are all friends, living off of one another in the heart of New York City. Over the course of ten years.",2,,,,,15,,,8
